,id,comment_text,severe_toxic
6,0002bcb3da6cb337,cocksucker before you piss around on my work,1
55,0020e7119b96eeeb,stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell,1
181,006e87872c8b370c,you are a stupid fuck and your mothers cunt stinks,1
442,01208d2b76624130,hi im a fucking bitch,1
579,018663f910e0bfe6,what a motherfucking piece of crap those fuckheads for blocking us,1
746,020316a0de9e0406,you know i was thinkingnobody really attacked me before i revealed my age here  after i announced that i was  i was subject to a constant storm of harassment and abusethe same thing goes for when i was on the sandbox when i was   before people knew my age they didnt care  after i told them my age they hated meits just so amusing how the idiot soapboxers think of teenagers as being responsible for the decline of the soapbox like it was ever any good to begin with  this is funny because the adults are the dumbest people here  mauricio chuppah redneckgirl pinky scooby gg foreverlosttinkerbell greenrabbit starrocketsinflight breerobinson enigma cocainenightmares tokyodome chadochocinco steve lakeall adultsthe teenage posters here are typically the smartest ones  lets see gdawg headbangingbrunette classicage metropolis even though hes a bipolar weirdo chrisscript just to name a fewall i ever see adults posting is rate my poo my ballz smell funny whoz hawter me or ur mom i like to rape little girls and hey guyz look at me im an attention whore  the adult posters here are immature moronic savage bullies with the mental capacity of a retarded yearoldwhereas most of the teenagers here are thoughtful intelligent mature and often profound  but theyre subject to constant schoolyard bullying by the idiot adult posters who think theyre somehow superior because they were born and dropped on their head earliersoapbox logic never fails to amuse me,1
756,0207005a6576eafc,heres an idea go fuck yourself cumshitter,1
761,0209cdf3131130ed,  will my motherfucking safety be guaranteed i fucking hope so im bringing my own fuckin weapons pay me when i get back motherfuckers  oh yeah ive got a jokea family husband wife son daughter dog walks into an agents office and tells him that theyve got a great vaudeville routinehe says we dont hire kiddy acts and they say but were really good and so the agent says fine let me see what youve got but if you suck im throwing you outso the family gets readythe daughter hits the cd player and circus music begins playing the father jump kicks the son in the head and stoms his face in the ground until its a bloody pulp then proceeds to jerk off and cum all over his shattered skull  meanwhile the mother begins violently finger fucking the daughter as the dog fucks the mother in the ass hole  this is the point when the father takes the leftover brain matter from the sons head and shoves it into the mothers pussy then begins fucking her pussy while simultaneously sticking his finger down the daughters throat until she vomits all over them both  then the dog bites the mothers hand off as shes finger fucking the daughter leaving her hand in the daughters pussy as blood squirts all over the placethe father takes blood from the ground smears it all over the mothers chest bends over and begins shitting all over the open wound where her hand used to be before the dog bit it off  they take the dog and shove it in a microwave heating it up until it explodes then take the dog remains mix it with the fathers shit the sons head wound and the fathers cum and shove it into the daughters mouth  then the father rips the sons dick off and fucks the daughter with it as the mother locates the sons testicles breaks them open and drinks the sperm that comes out  then the family lines up and says ta datheres silence from the agent until he finally says i love it  what do you call thatand the family says we call itthe aristocrats,1
887,026bd33490542b2e,you gay motherfucker i know where you livei am going to sand your face offthen i am to going to beat you to a pulpyou chicken shagger,1
1017,02c6e41e4b317ac3,wouldnt be the first time bitch fuck you ill find out where you live sodomize your wife and then burn your house down fuck you you fucking queer,1
1116,03088aacc4600323,fuck you faggot i dont care if i get blocked as long as everyone knows you are a dumb cunt,1
1129,030ed098f411f8c7,cavorting with heretics fuck heretics,1
1226,034beefa865b5381,i have a dick its bigger than yours hahaha,1
1264,03687823a14a8454,fuck you people the information of that can be found here ,1
1312,039296aa294ee10b,shut up you fat poop or i will kick your ass,1
1465,03ebb03deb920216,to blanchardb you dumb motherfucker i am going to sue the shit out of you watch your back,1
1568,04371246307ecbd1,fuck you and your small penis,1
1645,0470a205e8ecf59b,closedmouth is a dickfuck this guy is a jackass who sux cock  a fuckin job y the fuck does the trans do itcuz its into tht kinda shit ,1
1675,048e2bdc78a2dff1,hey fuck you who the fuck checks phnom nam lyr wildlife sanctuary for vandalism get a fucking life you turd bag,1
1684,0492cfd8278238d4, yo what the fuck is your problem fucking around with my page leave it the fuck alone,1
2055,0593a8a738fedf41,igho otegheri deletionwho the hell are you to decide what to delete and what notyou could go fuck yourself u little piece of shit,1
2094,05a928e4d2101d4e, nobody cares about the fucking shit like you fucking bitch ,1
2217,06087e2338f9b86c, some baklava for you   fuck     ,1
2227,060d90bb83941f2a,this is my page fuckers so i can say what i want fuck you drini and naconkantari i hope you enjoy your scheduled raping ps done a head count lately,1
2243,0612f0cf5318c790,hey wiki nerd  u suck man i dont like your nasty coments punk ill beat ur guts from the back signed lover boy ps i love butt sex and we can have  butt sex ill  bring the ky gelly,1
2249,06168775082a96d2,you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker you are a mothjer fucker cocksucker,1
2264,06205250808cc1f3,motherfucker dont be changing the fucking gta timeline,1
2296,063044c2f0a7bd60,fuck you you paranoid bitch you are a ugly unwanted bucket of sludge who is obsessed with the unwanted festering sputum bag from hell and the teletubbie rubbing pantaloon you try to bite the mailman you cum guzzling sick minded prick who cooks for the filthy freak and the decomposing penguin groper thy fawning illnurtured lout hath a idleheaded maggotpie if not for your daddy you would be a racist cursed horny toad who eats the earwax of the brain dead snotbox and the crap eating horny toad and you lift your leg on trees you evil naked weasel who slobbers on the wrinkly snob and the anatomically incorrect disfunctional buffoon so quit being so stupid you cat litter munching abysmal lunatic who slobbers on the cat harassing rectum and the anatomically incorrect lunatic you big smelly cunt your mums crack tastes like mince and  fuck your mouth your girlfriend is ugly if my dog is as ugly as you are i would shave his ass and make him walk backwards you are just cum you mom should of swallowed you are just a dog that jumped the fence and ran away how did you get here did someone leave your cage open are your parents siblings hey are you lost which way did you come in does she have an appetite she looks like she has an appetite go ahead tell them everything you know itll only take  seconds id love to go out with you but my favorite commercial is on tv you fail at life and please press the reset button on your life you should see the expressions on their faces priceless  game over motherfucker  thanks to you neither me nor my family will  give this shit foundation a fucking dime do wikipedia a favor and just delete your accounthave a nice day,1
2359,065675c12e22e3e1,you fascit nazi you socialist bastard you filthy hippy you dare touch my edits again and ill go to where you live and kick your ass in person it shouldnt be hard to find communes smell worse than slaughter houses i make edits i dont vandilaze get off your high horse,1
2374,0661f992b32b3351,fuck of nazi propagandaodpierdalcie sie jebani faszy ci od polski ,1
2380,06678c919e830854,since this is my user page i can say what i wantyou guys are all a bunch of motherfucking asseaters and i hope you all rot in hell,1
