,id,comment_text,threat
79,003217c3eb469ba9,hi i am back againlast warningstop undoing my edits or die,1
176,006b94add72ed61c,i think that your a fagget get a oife and burn in hell i hate you m sorry we cant have any more sex im running out of conndoms,1
600,0199d6af27b715f3,im also a sock puppet of this accountsuprisesincerely            the man that will track you down from the internet and kill you,1
802,02230885017a50c5,fuck you smith please have me notified when you die i want to dance on your grave,1
1017,02c6e41e4b317ac3,wouldnt be the first time bitch fuck you ill find out where you live sodomize your wife and then burn your house down fuck you you fucking queer,1
1085,02f77830b4d71c0f,whoever put a notices on my page i will kill u,1
1312,039296aa294ee10b,shut up you fat poop or i will kick your ass,1
1535,0420f5f4e950566b,demonte morton u bastard stop deletin my shit u white trash cracker muthafucker fuck u u racist bitch i hope u die,1
1878,0512f33cf8807fa2,aaron swartz stop fucking reverting my goddamn edits i think aaron swartz is a dumbass and he should have beenkilled a long time ago  i know where you live i will kill you if you revert any more pages,1
2018,057894cf4738a5d8,you are a gay homo i hope you choke on your penis and die i am sending a big bleck guy to jizz in your face,1
2373,06611b9bcca6dfd3,go kill yourself you should be ashamed of yourself twoofers like you are scumbags that deserve to die you antiscientific assholes are destroying america,1
2485,069f7c2315031b40,important you and your family shall burn you have been warned if you do troll muzemikes talk page i will slaughter you in your sleep bye,1
2894,07cec10ca35fe5f8,go to  die son of  bich,1
2915,07e0346aeda107bd,whats wrong with yougo kill yourself you vile creature,1
3029,082dbb113b6db6ab,mothafucka you son of a bitch shup upotherwise i will kill you,1
3712,09eb7d87b8c24ca5,please stop if you continue to ignore our policies by introducing inappropriate pages to wikipedia you will be blocked,1
3884,0a61094152de467f,last warning mark anymore defiant arguments and i will be subduing you with my merciless wrath,1
4712,0c7c341727488579,do go fuck off bastarddo yyou have a lifego fuck off bastard and yank your cock through your ass i hate you and hope you go away forever lame is you fuck your mom die die die and all that crap this is for mahy mahonerzass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass i ass,1
4733,0c8c45cc1a037baf,why are you still here can you not find anything more important to do like killing yourself,1
4888,0cf27594013bb708, aint bothering me im not required to sign my postsedit i didnt specifically threaten anyone and your blowing it out of control it was a snide comment if i said im going to kill him in a fire thats different saying im going to church to pray that he gets cancer or dies in a fire is more of a sarchastic tone pity you cant see that no matter bump it up to  weeks now just cause you can ,1
5397,0e640c74529f24aa,wtf why you deleting maashel bad things will happen to you now,1
